测试频道,#genre#
中视,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20183
华视新闻资讯,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20184
台视,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20186
中天北美台,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20187
TVBS,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20188
TVBS欢乐台,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20189
TVBS无线卫星,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20190
TVBS精采台,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20191
待确认3,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20192
待确认4,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20193
中天娱乐,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20194
中天综合,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20195
八大第一台,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20197
待确认5,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20198
八大娱乐台,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20200
待确认6,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20201
三立台湾台,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20202
三立综合台,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20204
东森综合,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20206
东森戏剧,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20207
超视34.5,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20208
ABC互动英语,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20209
东森美洲,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20210
东森电影,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20211
东森洋片,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20212
YOYO TV,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20213
民视第一台,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20214
EYE TV,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20215
民视台湾台,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20216
FTV综艺,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20217
FTV旅游,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20218
FTV影剧,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20219
中天新闻,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20222
智林体育台,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20224
纬来体育,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20225
纬来电影,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20227
纬来综合,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20228
ELTA影剧,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20230
靖天国际台,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20236
靖天卡通台,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20237
IQIYI,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20238
龙华电影,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20240
龙华戏剧,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20241
龙华洋片,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20242
龙华偶像,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20243
龙华经典,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20245
龙华待定,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20246
龙祥时代,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20247
Hollywood,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20248
曼迪日本台,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20249
TVN,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20250
HBO Family,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20251
待确认7,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20252
AMC电影台,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20255
Cinema World,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20256
Star Movies,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20257
Animax,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20258
Thrill,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20259
博斯运动-2,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20264
博斯高球-2,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20265
博斯高球-1,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20266
博斯网球,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20267
博斯无限,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20268
Pili,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20270
Global Trekker,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20271
ELTA生活旅游,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20272
亚洲旅游台,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20273
幸福空间居家,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20274
Rock Entertainment,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20275
